,time,min,median,max
0,2021-06-21 05:15:00,22.67185,23.5532,24.59295
1,2021-06-21 05:30:00,24.08245,25.2572,26.0187
2,2021-06-21 05:45:00,26.0608,26.9918,27.9867
3,2021-06-21 06:00:00,29.0163,29.8521,30.7155
4,2021-06-21 06:15:00,29.55065,30.4074,31.55265
5,2021-06-21 06:30:00,29.56365,30.4451,31.23615
6,2021-06-21 06:45:00,37.53065,38.5514,39.7046
7,2021-06-21 07:00:00,37.704,38.7154,39.86235
8,2021-06-21 07:15:00,48.7535,50.044,51.4249
9,2021-06-21 07:30:00,52.79615,54.874,56.65245
10,2021-06-21 07:45:00,62.34775,63.7768,65.9674
11,2021-06-21 08:00:00,70.47695,76.7149,81.78915
12,2021-06-21 08:15:00,73.82765,80.0465,88.87465
13,2021-06-21 08:30:00,67.7159,71.4786,78.1406
14,2021-06-21 08:45:00,66.13845,69.8567,74.7038
15,2021-06-21 09:00:00,65.3227,67.079,70.44985
16,2021-06-21 09:15:00,57.93355,59.932,63.27655
17,2021-06-21 09:30:00,48.04265,50.8344,52.5782
18,2021-06-21 09:45:00,40.81895,44.5957,51.08035
19,2021-06-21 10:00:00,39.8292,40.946,42.7778
20,2021-06-21 10:15:00,37.014675,37.87775,39.0186
21,2021-06-21 10:30:00,36.051975,36.76165,37.8552
22,2021-06-21 10:45:00,36.174525,36.9242,38.169075
23,2021-06-21 11:00:00,36.0793,36.9975,37.720175
24,2021-06-21 11:15:00,36.5467,38.513,40.354125
